ID,Text,Primary Category ID,Secondary Category IDs,Classification Reasoning
21,The app keeps freezing whenever I try to upload a file. This has been really frustrating. Not sure if this is a known issue. Please let me know what steps I should take next.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
22,I'd love to see better integration with other tools I use daily. This issue is affecting my work.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
23,This request is actually about a different service you offer. I've tried troubleshooting on my own but no luck. Not sure if this is a known issue. This issue is affecting my work.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
24,The instructions on your help page don't match what I see in the app. I haven't changed any settings recently. Hoping you can help me resolve this quickly. I've tried troubleshooting on my own but no luck.,C09,,The message highlights confusion with onboarding or help documentation not matching what the user sees.
25,I'm locked out of my account even though my password is correct. This has been really frustrating. I haven't changed any settings recently. Hoping you can help me resolve this quickly.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
26,This product has made my workflow so much easier. Not sure if this is a known issue. This issue is affecting my work.,C10,,The message shares positive feedback about the product or support without raising a problem.
27,"Not sure who to contact, but hoping you can point me in the right direction. Not sure if this is a known issue. This issue is affecting my work.",C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
28,The two-factor authentication code never arrives to my phone. This has been really frustrating.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
29,The latest update caused the settings page to crash. Hoping you can help me resolve this quickly.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
30,I just wanted to say your support team was incredibly helpful. I've tried troubleshooting on my own but no luck. This issue is affecting my work. Not sure if this is a known issue.,C10,,The message shares positive feedback about the product or support without raising a problem.
31,Any chance of adding more customization to the dashboard widgets? Please let me know what steps I should take next. This issue is affecting my work. Hoping you can help me resolve this quickly.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
32,I keep getting a blank screen after logging in. I've tried troubleshooting on my own but no luck. Not sure if this is a known issue. I haven't changed any settings recently.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
33,The app keeps freezing whenever I try to upload a file. Not sure if this is a known issue. Let me know if you need screenshots or additional details. This issue is affecting my work.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
34,Are there known outages right now? My whole team is affected. This issue is affecting my work. Let me know if you need screenshots or additional details. I've tried troubleshooting on my own but no luck.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
35,"Not sure who to contact, but hoping you can point me in the right direction. I've tried troubleshooting on my own but no luck. Please let me know what steps I should take next. Let me know if you need screenshots or additional details.",C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
36,Are there known outages right now? My whole team is affected. Let me know if you need screenshots or additional details. Not sure if this is a known issue.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
37,Are there known outages right now? My whole team is affected. Let me know if you need screenshots or additional details. I've tried troubleshooting on my own but no luck.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
38,My subscription renewed even though I thought I canceled it last month. Hoping you can help me resolve this quickly. This has been really frustrating. Thanks in advance for your help.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
39,Everything was working fine earlier but now nothing loads. This issue is affecting my work. I haven't changed any settings recently. I checked the FAQ but couldn't find anything useful.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
40,Just a quick note to say I love the new update! This has been really frustrating. Not sure if this is a known issue. Please let me know what steps I should take next.,C10,,The message shares positive feedback about the product or support without raising a problem.
41,Just a quick note to say I love the new update! Let me know if you need screenshots or additional details. Not sure if this is a known issue. Thanks in advance for your help.,C10,,The message shares positive feedback about the product or support without raising a problem.
42,I'm not sure how to complete the onboarding steps—it keeps asking for info I don’t have. This issue is affecting my work. Please let me know what steps I should take next. I checked the FAQ but couldn't find anything useful.,C09,,The message highlights confusion with onboarding or help documentation not matching what the user sees.
43,It would be great if there was a dark mode. Let me know if you need screenshots or additional details.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
44,The instructions on your help page don't match what I see in the app. I've tried troubleshooting on my own but no luck. I haven't changed any settings recently. This issue is affecting my work.,C09,,The message highlights confusion with onboarding or help documentation not matching what the user sees.
45,I can't reset my password because the reset link keeps expiring instantly. This issue is affecting my work. Hoping you can help me resolve this quickly. Let me know if you need screenshots or additional details.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
46,I received the wrong item and need to exchange it. Let me know if you need screenshots or additional details. Hoping you can help me resolve this quickly. I checked the FAQ but couldn't find anything useful.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
47,Really impressed with how fast your team resolved my issue. I've tried troubleshooting on my own but no luck. Let me know if you need screenshots or additional details. Hoping you can help me resolve this quickly.,C10,,The message shares positive feedback about the product or support without raising a problem.
48,I think this message got sent to the wrong department—I'm looking for HR. Not sure if this is a known issue.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
49,Are there known outages right now? My whole team is affected. I've tried troubleshooting on my own but no luck. This has been really frustrating.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
50,Really impressed with how fast your team resolved my issue. Thanks in advance for your help.,C10,,The message shares positive feedback about the product or support without raising a problem.
51,I just wanted to say your support team was incredibly helpful. This has been really frustrating. I checked the FAQ but couldn't find anything useful.,C10,,The message shares positive feedback about the product or support without raising a problem.
52,I don’t understand why certain features disappear after I log in. Not sure if this is a known issue. I haven't changed any settings recently. I've tried troubleshooting on my own but no luck.,C09,,The message highlights confusion with onboarding or help documentation not matching what the user sees.
53,Any chance of adding more customization to the dashboard widgets? Let me know if you need screenshots or additional details.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
54,Your cancellation policy feels misleading based on what was advertised. This has been really frustrating. Let me know if you need screenshots or additional details. Please let me know what steps I should take next.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
55,This product has made my workflow so much easier. Hoping you can help me resolve this quickly. I checked the FAQ but couldn't find anything useful.,C10,,The message shares positive feedback about the product or support without raising a problem.
56,Your service seems to be down—I can't access anything. I haven't changed any settings recently.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
57,The shipment arrived damaged and unusable. Thanks in advance for your help. This has been really frustrating. Not sure if this is a known issue.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
58,I was told one thing by sales and now support is telling me something else. Thanks in advance for your help. I checked the FAQ but couldn't find anything useful.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
59,I noticed an unexpected charge on my account and can't figure out where it came from. This issue is affecting my work.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
60,Everything was working fine earlier but now nothing loads. I haven't changed any settings recently. I checked the FAQ but couldn't find anything useful.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
61,Your cancellation policy feels misleading based on what was advertised. This issue is affecting my work.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
62,I was billed twice for the same month and need help sorting it out. This issue is affecting my work. I haven't changed any settings recently.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
63,I was billed twice for the same month and need help sorting it out. I haven't changed any settings recently. Not sure if this is a known issue. Please let me know what steps I should take next.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
64,The latest update caused the settings page to crash. This issue is affecting my work.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
65,My subscription renewed even though I thought I canceled it last month. Let me know if you need screenshots or additional details.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
66,Your service seems to be down—I can't access anything. Hoping you can help me resolve this quickly.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
67,"Not sure who to contact, but hoping you can point me in the right direction. I've tried troubleshooting on my own but no luck. Let me know if you need screenshots or additional details. Hoping you can help me resolve this quickly.",C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
68,The latest update caused the settings page to crash. I've tried troubleshooting on my own but no luck. Hoping you can help me resolve this quickly. This issue is affecting my work.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
69,I'm not sure how to complete the onboarding steps—it keeps asking for info I don’t have. Not sure if this is a known issue. I've tried troubleshooting on my own but no luck.,C09,,The message highlights confusion with onboarding or help documentation not matching what the user sees.
70,I think this message got sent to the wrong department—I'm looking for HR. Let me know if you need screenshots or additional details. I checked the FAQ but couldn't find anything useful.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
71,The two-factor authentication code never arrives to my phone. I checked the FAQ but couldn't find anything useful.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
72,This product has made my workflow so much easier. I haven't changed any settings recently.,C10,,The message shares positive feedback about the product or support without raising a problem.
73,Really impressed with how fast your team resolved my issue. This has been really frustrating. I checked the FAQ but couldn't find anything useful. I haven't changed any settings recently.,C10,,The message shares positive feedback about the product or support without raising a problem.
74,I noticed an unexpected charge on my account and can't figure out where it came from. I've tried troubleshooting on my own but no luck. This issue is affecting my work.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
75,I'd like to cancel my account but can't find the option anywhere. This has been really frustrating. I haven't changed any settings recently.,C04,,"The user is seeking to cancel, downgrade, or understand plan options for their account."
76,I think this message got sent to the wrong department—I'm looking for HR. Hoping you can help me resolve this quickly.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
77,"The system keeps timing out, so I assume there's a backend issue. I've tried troubleshooting on my own but no luck. This has been really frustrating. I checked the FAQ but couldn't find anything useful.",C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
78,I'm locked out of my account even though my password is correct. I checked the FAQ but couldn't find anything useful. I've tried troubleshooting on my own but no luck. I haven't changed any settings recently.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
79,I don’t understand why certain features disappear after I log in. This has been really frustrating. I've tried troubleshooting on my own but no luck.,C09,,The message highlights confusion with onboarding or help documentation not matching what the user sees.
80,I can't reset my password because the reset link keeps expiring instantly. I've tried troubleshooting on my own but no luck. Let me know if you need screenshots or additional details. I checked the FAQ but couldn't find anything useful.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
81,The two-factor authentication code never arrives to my phone. Please let me know what steps I should take next. I've tried troubleshooting on my own but no luck. I checked the FAQ but couldn't find anything useful.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
82,The invoice amount doesn't match what was shown during checkout. Let me know if you need screenshots or additional details. Please let me know what steps I should take next. Not sure if this is a known issue.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
83,My subscription renewed even though I thought I canceled it last month. This issue is affecting my work.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
84,I noticed an unexpected charge on my account and can't figure out where it came from. I haven't changed any settings recently. Hoping you can help me resolve this quickly. I've tried troubleshooting on my own but no luck.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
85,The tracking number hasn't updated in over a week. Let me know if you need screenshots or additional details. Hoping you can help me resolve this quickly. I've tried troubleshooting on my own but no luck.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
86,I'm thinking about canceling because I no longer need the service. This has been really frustrating.,C04,,"The user is seeking to cancel, downgrade, or understand plan options for their account."
87,The latest update caused the settings page to crash. Hoping you can help me resolve this quickly.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
88,The app keeps freezing whenever I try to upload a file. This issue is affecting my work. Thanks in advance for your help.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
89,I was billed twice for the same month and need help sorting it out. Please let me know what steps I should take next. This issue is affecting my work.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
90,I don’t understand why certain features disappear after I log in. I've tried troubleshooting on my own but no luck. Thanks in advance for your help. Please let me know what steps I should take next.,C09,,The message highlights confusion with onboarding or help documentation not matching what the user sees.
91,The app keeps freezing whenever I try to upload a file. Not sure if this is a known issue.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
92,Can you add support for exporting reports in more formats? I haven't changed any settings recently.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
93,The invoice amount doesn't match what was shown during checkout. Hoping you can help me resolve this quickly. Not sure if this is a known issue.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
94,I received the wrong item and need to exchange it. I checked the FAQ but couldn't find anything useful.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
95,The tracking number hasn't updated in over a week. Not sure if this is a known issue. Let me know if you need screenshots or additional details.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
96,This product has made my workflow so much easier. I've tried troubleshooting on my own but no luck. Please let me know what steps I should take next. Hoping you can help me resolve this quickly.,C10,,The message shares positive feedback about the product or support without raising a problem.
97,The latest update caused the settings page to crash. Let me know if you need screenshots or additional details. I haven't changed any settings recently. I've tried troubleshooting on my own but no luck.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
98,I canceled but I'm still being charged monthly. I've tried troubleshooting on my own but no luck. Hoping you can help me resolve this quickly. Thanks in advance for your help.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
99,I canceled but I'm still being charged monthly. I've tried troubleshooting on my own but no luck.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
100,It would be great if there was a dark mode. I checked the FAQ but couldn't find anything useful. Thanks in advance for your help. Hoping you can help me resolve this quickly.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
101,It would be great if there was a dark mode. Hoping you can help me resolve this quickly. Not sure if this is a known issue.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
102,My package was marked delivered but it's nowhere to be found. This has been really frustrating.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
103,I think this message got sent to the wrong department—I'm looking for HR. I checked the FAQ but couldn't find anything useful. Thanks in advance for your help. Not sure if this is a known issue.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
104,I was hoping to switch to a free plan but don't see any downgrade option. I haven't changed any settings recently.,C04,,"The user is seeking to cancel, downgrade, or understand plan options for their account."
105,I just wanted to say your support team was incredibly helpful. Let me know if you need screenshots or additional details. I checked the FAQ but couldn't find anything useful. Please let me know what steps I should take next.,C10,,The message shares positive feedback about the product or support without raising a problem.
106,My subscription renewed even though I thought I canceled it last month. Let me know if you need screenshots or additional details. Please let me know what steps I should take next.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
107,"The system keeps timing out, so I assume there's a backend issue. I've tried troubleshooting on my own but no luck. I haven't changed any settings recently.",C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
108,I think this message got sent to the wrong department—I'm looking for HR. Let me know if you need screenshots or additional details. I haven't changed any settings recently. Please let me know what steps I should take next.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
109,I'm locked out of my account even though my password is correct. I haven't changed any settings recently. Not sure if this is a known issue.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
110,I noticed an unexpected charge on my account and can't figure out where it came from. Thanks in advance for your help. I haven't changed any settings recently. Hoping you can help me resolve this quickly.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
111,My subscription renewed even though I thought I canceled it last month. I've tried troubleshooting on my own but no luck.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
112,"Sorry if this isn't the right inbox, but I need help with something unrelated. I checked the FAQ but couldn't find anything useful. Let me know if you need screenshots or additional details. This issue is affecting my work.",C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
113,The tracking number hasn't updated in over a week. Let me know if you need screenshots or additional details. Hoping you can help me resolve this quickly. I've tried troubleshooting on my own but no luck.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
114,Can you add support for exporting reports in more formats? I've tried troubleshooting on my own but no luck. This has been really frustrating. This issue is affecting my work.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
115,The app keeps freezing whenever I try to upload a file. Thanks in advance for your help.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
116,My subscription renewed even though I thought I canceled it last month. I've tried troubleshooting on my own but no luck. I checked the FAQ but couldn't find anything useful. Please let me know what steps I should take next.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
117,Why was my refund request denied even though I'm within the return window? Thanks in advance for your help.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
118,The latest update caused the settings page to crash. Please let me know what steps I should take next. Not sure if this is a known issue.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
119,I'm being charged fees that I was never informed about. This has been really frustrating. I've tried troubleshooting on my own but no luck.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
120,I'm being charged fees that I was never informed about. Let me know if you need screenshots or additional details. Thanks in advance for your help. I checked the FAQ but couldn't find anything useful.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
121,Are there known outages right now? My whole team is affected. I've tried troubleshooting on my own but no luck. I haven't changed any settings recently.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
122,I canceled but I'm still being charged monthly. Thanks in advance for your help. I've tried troubleshooting on my own but no luck. Please let me know what steps I should take next.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
123,What exactly is the difference between your basic and premium plans? This has been really frustrating. Please let me know what steps I should take next.,C04,,"The user is seeking to cancel, downgrade, or understand plan options for their account."
124,It would be great if there was a dark mode. I haven't changed any settings recently. I've tried troubleshooting on my own but no luck. This issue is affecting my work.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
125,Your service seems to be down—I can't access anything. Not sure if this is a known issue. Please let me know what steps I should take next. This issue is affecting my work.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
126,I'm locked out of my account even though my password is correct. Thanks in advance for your help. I've tried troubleshooting on my own but no luck. Please let me know what steps I should take next.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
127,I keep getting a blank screen after logging in. Please let me know what steps I should take next. This has been really frustrating.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
128,I'm being charged fees that I was never informed about. Please let me know what steps I should take next. I've tried troubleshooting on my own but no luck.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
129,This request is actually about a different service you offer. Thanks in advance for your help. Hoping you can help me resolve this quickly.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
130,Your cancellation policy feels misleading based on what was advertised. I've tried troubleshooting on my own but no luck.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
131,This request is actually about a different service you offer. Let me know if you need screenshots or additional details. I haven't changed any settings recently.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
132,The dashboard graphs are not loading like they used to. Thanks in advance for your help.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
133,The app keeps freezing whenever I try to upload a file. Let me know if you need screenshots or additional details. This has been really frustrating.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
134,Your cancellation policy feels misleading based on what was advertised. This has been really frustrating. I've tried troubleshooting on my own but no luck.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
135,My subscription renewed even though I thought I canceled it last month. This has been really frustrating.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
136,I'm thinking about canceling because I no longer need the service. I've tried troubleshooting on my own but no luck.,C04,,"The user is seeking to cancel, downgrade, or understand plan options for their account."
137,The invoice amount doesn't match what was shown during checkout. This has been really frustrating. I checked the FAQ but couldn't find anything useful.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
138,Any chance of adding more customization to the dashboard widgets? This has been really frustrating.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
139,I was hoping to switch to a free plan but don't see any downgrade option. Let me know if you need screenshots or additional details.,C04,,"The user is seeking to cancel, downgrade, or understand plan options for their account."
140,I can't reset my password because the reset link keeps expiring instantly. This has been really frustrating. I checked the FAQ but couldn't find anything useful.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
141,My subscription renewed even though I thought I canceled it last month. Not sure if this is a known issue. Let me know if you need screenshots or additional details.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
142,The invoice amount doesn't match what was shown during checkout. This issue is affecting my work. Please let me know what steps I should take next.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
143,It would be great if there was a dark mode. Please let me know what steps I should take next. Hoping you can help me resolve this quickly. This issue is affecting my work.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
144,The latest update caused the settings page to crash. Please let me know what steps I should take next. I've tried troubleshooting on my own but no luck. Not sure if this is a known issue.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
145,I received the wrong item and need to exchange it. This issue is affecting my work. Not sure if this is a known issue.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
146,This product has made my workflow so much easier. This has been really frustrating.,C10,,The message shares positive feedback about the product or support without raising a problem.
147,Your service seems to be down—I can't access anything. I've tried troubleshooting on my own but no luck. I haven't changed any settings recently. I checked the FAQ but couldn't find anything useful.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
148,I was hoping to switch to a free plan but don't see any downgrade option. Please let me know what steps I should take next. Thanks in advance for your help. Not sure if this is a known issue.,C04,,"The user is seeking to cancel, downgrade, or understand plan options for their account."
149,The latest update caused the settings page to crash. I haven't changed any settings recently. Let me know if you need screenshots or additional details.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
150,Any chance of adding more customization to the dashboard widgets? Hoping you can help me resolve this quickly. Thanks in advance for your help.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
151,I think this message got sent to the wrong department—I'm looking for HR. I checked the FAQ but couldn't find anything useful. Please let me know what steps I should take next.,C08,,The sender says the request may be misdirected and asks who to contact for the unrelated issue.
152,The dashboard graphs are not loading like they used to. Let me know if you need screenshots or additional details. I haven't changed any settings recently.,C01,,"The user reports functional glitches such as freezing, crashes, or pages failing during normal use."
153,I noticed an unexpected charge on my account and can't figure out where it came from. This issue is affecting my work. I checked the FAQ but couldn't find anything useful. Let me know if you need screenshots or additional details.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
154,It would be great if there was a dark mode. Hoping you can help me resolve this quickly.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
155,Are there known outages right now? My whole team is affected. I checked the FAQ but couldn't find anything useful. Not sure if this is a known issue. I haven't changed any settings recently.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
156,I'd love to see better integration with other tools I use daily. I've tried troubleshooting on my own but no luck.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
157,My subscription renewed even though I thought I canceled it last month. This has been really frustrating. Please let me know what steps I should take next. I checked the FAQ but couldn't find anything useful.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
158,The tracking number hasn't updated in over a week. Please let me know what steps I should take next. This issue is affecting my work.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
159,Everything was working fine earlier but now nothing loads. Not sure if this is a known issue.,C07,,The user reports a broad outage or inability to access the service affecting usage for them or their team.
160,My package was marked delivered but it's nowhere to be found. I haven't changed any settings recently. Not sure if this is a known issue. This has been really frustrating.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
161,The shipment arrived damaged and unusable. Not sure if this is a known issue. I checked the FAQ but couldn't find anything useful. Please let me know what steps I should take next.,C05,,The note describes shipping fulfillment problems such as missing or damaged items or stalled tracking.
162,I'm locked out of my account even though my password is correct. Thanks in advance for your help. Hoping you can help me resolve this quickly.,C02,,The user cannot sign in properly due to authentication issues like password lockouts or codes not working.
163,I noticed an unexpected charge on my account and can't figure out where it came from. I checked the FAQ but couldn't find anything useful. Please let me know what steps I should take next. This has been really frustrating.,C03,,"The writer disputes charges or billing actions like unexpected fees, duplicate bills, or renewals."
164,I'd love to see better integration with other tools I use daily. I checked the FAQ but couldn't find anything useful. Hoping you can help me resolve this quickly. Not sure if this is a known issue.,C06,,The text suggests adding or improving features like integrations or customization to enhance the product.
